defect,magnitude,n,detection_rate,median_latency_days,fp_per_day
spike,1.0,50,0.52,0.0,0.01496124031007752
spike,2.0,50,0.96,0.0,0.015193798449612403
spike,4.0,50,1.0,0.0,0.015193798449612403
spike,8.0,50,1.0,0.0,0.01503875968992248
impossible,1.0,50,1.0,0.0,0.015590551181102362
dropout,1.0,50,1.0,0.0,0.015793650793650794
stuck,1.0,50,1.0,3.0,0.0157429718875502
drift,0.5,50,0.16,12.0,0.01616326530612245
drift,1.0,50,0.6,8.5,0.01616326530612245
drift,2.0,50,0.98,7.0,0.01616326530612245
scale,0.5,50,0.46,0.0,0.0163265306122449
scale,1.0,50,0.8,0.0,0.0156734693877551
scale,2.0,50,0.94,0.0,0.015918367346938776
