Timestamp,Temperature_C,DewPoint_C,Pressure_hPa
2019-01-01,2.06,-2.5,846.2
2019-01-02,2.5,-0.11,846.1
2019-01-03,2.72,-1.11,848.6
2019-01-04,0.39,-1.5,847.9
2019-01-05,1.72,-1.0,844.1
2019-01-06,1.44,-0.94,845.1
2019-01-07,0.78,-2.39,848.1
2019-01-08,1.22,-1.72,845.4
2019-01-09,2.17,-1.22,846.3
2019-01-10,1.61,-1.44,845.3
2019-01-11,1.94,-0.61,845.1
2019-01-12,1.56,0.22,842.5
2019-01-13,2.44,-1.33,846.1
2019-01-14,-0.06,-4.89,849.5
2019-01-15,0.22,-3.89,848.5
2019-01-16,0.17,-1.11,846.6
2019-01-17,1.5,-1.61,848.2
2019-01-18,1.44,-2.5,849.5
2019-01-19,0.94,-0.83,848.2
2019-01-20,2.28,0.28,844.3
2019-01-21,1.83,0.89,838.9
2019-01-22,1.83,0.72,838.4
2019-01-23,2.11,-0.28,843.0
2019-01-24,1.5,-0.44,845.2
2019-01-25,1.22,-1.17,844.0
2019-01-26,1.44,-2.0,847.4
2019-01-27,2.0,-2.78,847.7
2019-01-28,1.33,-4.61,849.0
2019-01-29,1.5,-4.61,847.9
2019-01-30,1.56,-0.89,846.2
2019-01-31,0.94,0.22,843.4
2019-02-01,2.56,0.44,845.7
2019-02-02,3.78,-0.67,847.4
2019-02-03,4.22,-1.39,849.3
2019-02-04,2.56,-1.33,849.6
2019-02-05,4.5,-0.11,844.6
2019-02-06,1.39,0.28,837.8
2019-02-07,0.89,-0.06,835.7
2019-02-08,2.33,-1.33,843.5
2019-02-09,1.78,-3.94,847.3
2019-02-10,2.89,-2.39,847.3
2019-02-11,4.89,-0.94,848.5
2019-02-12,3.06,0.5,851.0
2019-02-13,2.61,1.22,849.3
2019-02-14,2.72,1.28,842.4
2019-02-15,3.67,1.39,843.4
2019-02-16,6.0,0.17,845.1
2019-02-17,4.06,-1.28,840.4
2019-02-18,3.67,1.17,835.2
2019-02-19,5.56,1.0,840.7
2019-02-20,4.61,1.44,843.9
2019-02-21,2.72,1.44,841.1
2019-02-22,5.17,2.22,843.1
2019-02-23,7.17,1.33,841.9
2019-02-24,6.33,-0.06,837.6
2019-02-25,4.39,-0.11,838.5
2019-02-26,2.17,-0.39,837.9
2019-02-27,3.44,-3.89,836.9
2019-02-28,4.11,-3.39,840.7
2019-03-01,5.5,-1.0,843.0
2019-03-02,2.39,1.06,841.9
2019-03-03,4.5,2.33,839.9
2019-03-04,6.11,2.61,839.2
2019-03-05,8.11,1.33,838.8
2019-03-06,8.33,0.67,839.3
2019-03-07,6.94,1.33,840.6
2019-03-08,6.83,0.61,842.9
2019-03-09,8.56,-0.28,843.4
2019-03-10,9.89,-1.39,842.1
2019-03-11,5.78,2.44,841.4
2019-03-12,7.11,1.61,845.8
2019-03-13,5.94,1.94,844.4
2019-03-14,7.5,3.11,844.8
2019-03-15,9.11,2.17,846.6
2019-03-16,9.83,0.56,846.1
2019-03-17,9.44,2.22,844.6
2019-03-18,9.72,2.06,843.7
2019-03-19,8.5,3.56,840.4
2019-03-20,4.22,2.89,842.0
2019-03-21,8.06,3.28,845.4
2019-03-22,10.33,2.61,845.6
